update,pg,v,ent,adv_mean,ret_mean,delta_mean,q_mean,global_step
0,-0.06120570749044418,8.334559440612793,13.142240524291992,9.685754776000977e-08,2.8746988773345947,0.21812760829925537,2.8746988773345947,64
1,-0.03622717782855034,4.8801493644714355,13.110535621643066,-4.190951585769653e-08,2.984971523284912,0.16680507361888885,2.984971523284912,128
2,-0.035012055188417435,3.9960243701934814,13.064016342163086,1.9371509552001953e-07,3.5892510414123535,0.16213493049144745,3.5892510414123535,192
3,-0.015982411801815033,7.117743492126465,13.006773948669434,-7.078051567077637e-08,4.833337306976318,0.21676966547966003,4.833337306976318,256
4,-0.01065710186958313,6.373513698577881,12.949419021606445,-2.7194619178771973e-07,5.5204243659973145,0.21060338616371155,5.5204243659973145,320
5,-0.01724371314048767,7.999544143676758,12.888176918029785,3.3527612686157227e-08,6.775295257568359,0.23406864702701569,6.775295257568359,384
6,-0.027914391830563545,1.827173113822937,12.814115524291992,-1.1920928955078125e-07,6.3705668449401855,0.13142868876457214,6.3705668449401855,448
7,-0.021067526191473007,5.918848037719727,12.715010643005371,-1.1734664440155029e-07,8.294356346130371,0.2033790647983551,8.294356346130371,512
8,-0.014855872839689255,2.976471424102783,12.619930267333984,-1.2665987014770508e-07,8.820403099060059,0.18272416293621063,8.820403099060059,576
9,-0.025285910815000534,0.4533448815345764,12.527820587158203,-8.195638656616211e-08,9.172904014587402,0.08859197795391083,9.172904014587402,640
update,pg,v,ent,adv_mean,ret_mean,delta_mean,q_mean,global_step
0,-0.06651414185762405,0.46175363659858704,13.132506370544434,5.587935447692871e-09,-0.47018033266067505,-0.029467135667800903,-0.47018033266067505,64
1,-0.034912604838609695,0.38967135548591614,13.115760803222656,-1.862645149230957e-08,-0.6757147312164307,-0.03809932619333267,-0.6757147312164307,128
2,-0.03624023497104645,0.5403801202774048,13.086692810058594,-4.936009645462036e-08,-1.4488110542297363,-0.059314828366041183,-1.4488110542297363,192
3,-0.031070701777935028,0.22237204015254974,13.038947105407715,-1.0710209608078003e-07,-1.5123183727264404,-0.034201934933662415,-1.5123183727264404,256
4,-0.017184391617774963,1.5934678316116333,12.98232364654541,3.725290298461914e-08,-0.7241048812866211,0.06795952469110489,-0.7241048812866211,320
5,-0.011770976707339287,0.4156849980354309,12.926217079162598,-1.909211277961731e-08,-1.580169916152954,0.017587069422006607,-1.580169916152954,384
6,-0.03491327911615372,0.30713197588920593,12.877829551696777,-3.91155481338501e-08,-1.700645089149475,0.0065110307186841965,-1.700645089149475,448
7,-0.022686950862407684,1.187174916267395,12.804481506347656,-9.313225746154785e-09,-1.012281894683838,0.06866134703159332,-1.012281894683838,512
8,-0.014691483229398727,1.827380895614624,12.719112396240234,-1.210719347000122e-08,-2.56256103515625,-0.07634561508893967,-2.56256103515625,576
9,-0.026618970558047295,0.19828931987285614,12.623953819274902,2.7008354663848877e-08,-1.3145991563796997,-0.003843611106276512,-1.3145991563796997,640
update,pg,v,ent,adv_mean,ret_mean,delta_mean,q_mean,global_step
0,-0.0570470429956913,0.23831363022327423,13.142228126525879,-1.4901161193847656e-08,-0.3288390040397644,-0.01400497555732727,-0.3288390040397644,64
1,-0.03020719811320305,0.34016525745391846,13.109986305236816,1.6763806343078613e-08,-0.6379724740982056,0.00765962665900588,-0.6379724740982056,128
2,-0.022580087184906006,0.2435537874698639,13.084936141967773,1.6763806343078613e-08,-0.9023988246917725,-0.029678799211978912,-0.9023988246917725,192
3,-0.022944778203964233,0.5204530358314514,13.056687355041504,0.0,-1.0992579460144043,0.019883902743458748,-1.0992579460144043,256
4,-0.01460789144039154,0.28802725672721863,13.028061866760254,-6.705522537231445e-08,-1.6467812061309814,-0.017838899046182632,-1.6467812061309814,320
5,-0.009351405315101147,0.7083041071891785,13.004961013793945,-5.21540641784668e-08,-0.9989050626754761,0.04622036591172218,-0.9989050626754761,384
6,-0.0073157791048288345,1.099134922027588,12.979514122009277,-1.043081283569336e-07,-0.6744311451911926,0.06003148853778839,-0.6744311451911926,448
7,-0.010100394487380981,0.6617273092269897,12.950011253356934,-1.7695128917694092e-08,-0.8951455354690552,0.048097677528858185,-0.8951455354690552,512
8,-0.009723100811243057,0.3432357907295227,12.91731071472168,3.91155481338501e-08,-0.5480815768241882,0.032251209020614624,-0.5480815768241882,576
9,-0.009134282357990742,2.099651575088501,12.876029968261719,-7.078051567077637e-08,0.7622581720352173,0.11771164834499359,0.7622581720352173,640
